Date/Time,1FLOOR:ZONE1:Zone Lights Electric Energy [J](Monthly),1FLOOR:ZONE1:Zone Electric Equipment Electric Energy [J](Monthly),1FLOOR:ZONE1:Zone Air System Sensible Heating Energy [J](Monthly),1FLOOR:ZONE1:Zone Air System Sensible Cooling Energy [J](Monthly) 
January,571682383.200003,186309626.813112,7407236603.67687,0.0 
February,513955497.600003,167587365.763418,5640516576.63272,0.0 
March,553060807.200003,180944323.787819,3936589973.77097,0.0 
April,577268856.000003,187222610.496938,1403335988.36553,0.0 
May,553060807.200003,180944323.787819,212160635.84691,0.0 
June,540025704.000003,176492004.446352,0.0,51954253.1202365 
July,590303959.200004,191674929.838405,58219.6637975501,287740430.223306 
August,553060807.200003,180944323.787819,71115.2494068247,380398006.239421 
September,558647280.000003,181857307.471645,12755786.1087341,87699584.894079 
October,571682383.200003,186309626.813112,548972150.675767,0.0 
November,540025704.000003,176492004.446352,2963082742.34198,0.0 
December,590303959.200004,191674929.838405,6197857504.25496,0.0 
